问题,回答
预定、订座、外带增长了多少？,预定增长了407%、订座增长了260%、外带增长了173%。
与餐饮消费需求相关的特性增长了多少？,酒馆小聚增长了433%、商务特性增长了429%、下午茶增长了260%、聚会增长了247%。
热门评价关键词增速增长了多少？,热门评价关键词增速为1815%（2023年1-3月 VS 2018年同期）。
2023中国餐饮加盟品牌TOP100评选规则说明概述,通过美团大数据与中国连锁经营协会（CCFA）联合进行客观、公正、权威评估，从品牌成长力、加盟门店经营情况、消费者认可度三大维度对餐饮加盟品牌进行评估，评选出值得加盟的餐饮品牌。
品牌入围TOP100的计算方法是怎样的？,将品牌按照品类划分，然后利用多种标准化方法对数据进行处理，对处理后的指标数据加权求和，按数值高低排列。
品牌入围TOP100的公示期是什么时候？,公示期为北京时间2023年3月20日至2023年4月3日。
品牌入围TOP100是否考虑到品类特征？,已考虑。
品牌入围TOP100的参选条件是什么？,被美团平台收录，对社会开放加盟，以及满足门槛指标即可参选。
计算采用了什么方法？,计算从开始便采用了分品类计算，并参照餐饮行业品类规模特征，确定了品类分布情况。
哪些品类被纳入了计算？,正餐（特色餐饮）10 家；火锅烧烤 20 家；快餐 30 家；面包甜点 10 家；风味小吃 10 家；休闲饮品 20 家。
TOP100 入围品牌的免责声明是什么？,TOP100 入围品牌均是利用大数据评选出的结果，仅供公众参考。投资者需到相关国家机构网站查询以及实地考察真实情况，来决定加盟品牌，投资有风险，选择需谨慎。
TOP100 的保密须知是什么？,涉及 TOP100，包括但不限于 TOP100 的评选流程、指标体系、评选工具及其他信息属商业机密，所有权属于美团，未经美团许可，任何本次活动参与者均不得向第三方泄露。
TOP100 入围品牌是否存在取消入围资格的情况？,是，美团和 CCFA 保留对出现特许经营纠纷败诉、重大事故、炒作等严重不符合 TOP100 评选标准的品牌商取消入围资格的权利。
酱香酒的销售情况如何？,近期销售情况不太好，整个白酒行业的终端动销好像并不太好。
酱香酒在白酒行业内和其他品类相比如何？,在白酒行业内和其他品类相比，酱香酒相对要更好一些。
白酒行业面临的问题是什么？,白酒行业面临出口、投资和消费等方面的问题。
华润酒业希望成为什么？,华润酒业希望成为中国白酒行业一个新生的力量，通过三个阶段来推动白酒行业的发展。
家为酱酒企业是做什么的？,家为酱酒企业是一家酱酒企业。
贵州省白酒产业促进会是做什么的？,贵州省白酒产业促进会是一个官方或者半官方的促进会，旨在推动全省白酒产业发展。
酱香酒的价格趋势如何？,酱香酒的价格带逐步往下迁移，大众消费者会越来越有机会享受高品质的酱酒品类。
如何把握酱香酒的风口？,把握酱酒风口，选择合适品牌，酱香酒未来持续向上的大周期几乎确定无疑。
企业发展需要坚持什么模式？,企业发展需要坚持守正模式。
创新包括哪些方面？,创新包括产品创新、营销模式、品牌打造、内部激励机制、消费者培育方法等。
经销商需要保持什么样的心态？,经销商需要保持长期主义的态度和价值观。
贵州醇、青酒、匀酒分别是什么情况？,贵州醇是自2020年推出新品以来复合增长90%的酱酒企业，青酒去年销售增长292%，今年预计再翻一番，匀酒是公司于2022年9月份投资参与，目前还在起步阶段。
2023年的中国酱酒市场将发生什么变化？,2023年中国酱酒市场将从浑水摸鱼时代转变为精准捕鱼时代。
1000元价格带都有哪些酱酒品牌？,茅台1935、青花郎、君品习酒等。
500-800元价格带有哪些酱酒品牌？,摘要、汉酱、窖藏1988等产品还没有在这个价格带真正形成老大或者老二、老三，还有空间。
300-500元价格带有哪些酱酒品牌？,国台国标、珍15、金沙回沙都有机会。
100-300元价格带有哪些酱酒品牌？,茅台王子、茅台家族、圆习酒、魁五首等。
新兴市场可以布局哪些地区？,陕西、福建、湖南、浙江、上海市场都不错，这些新兴市场的大江大河超乎你的想象。
酱香的亚品类机会来了吗？,以口感、体感为特征，品质、工艺为支撑的亚品类创新机会来了。
酱酒行业的品牌建设工作怎么样？,酱酒行业的品牌建设工作任重道远，需要建立自己的圈层品牌，需要建立自己的大湖小潭，培育出自己专属的大鱼。
酱酒是什么类型的酒？,酱酒是中高端产品。
酱酒市场渗透率大概在什么水平？,全国范围内酱酒消费的渗透率大概在20%，山东、河南、福建市场渗透率在30%左右。
酱酒的下半场是什么？,当酱酒消费转移达到一个饱和点后，比如说40%-50%的人喝酱酒，酱酒的下半场则开始，头部品牌企业迎来机会。
酱酒的黄金价格带是哪些？,300-600元和千元价格带是黄金价格带。
酱酒的生产能力是否需要扩张？,并非所有企业都可以扩产，观察到去年中小企业开始减产，倘若没有更多的资金实力、品牌覆盖力以及做市场的能力，就不要盲目去扩产。
酱酒市场中，贴牌是否有前途？,贴牌没有出路，需要布局高端创新偏头部的主流品牌，或者是一些小众品牌。
酱酒的未来发展趋势是什么？,未来90%以上的年份酒市场将属于酱酒品质和年份有着直接的线性关系，头部企业很好的运用了两者概念，取得一部分市场。
贵州老名酒是否有机会？,贵州老名酒具备品牌要素，只要产能要素达标，企业的想象空间都是比较大的，做到100亿是有可能的。
酱酒的营收预测是多少？,预计2030年酱酒营收将突破4000亿元，市场基本饱和，外延式增长结束。
酱酒是否是一个绝佳的投资标的？,酱酒变成了一个当前传统产业里面绝佳的投资标的，一方面是成长的确定性很好，另一方面是它对冲通胀的功能比较强。
酱酒品牌的品类细分方面有哪些？,品类细分方面，比方说川派的五粮液、泸州老窖，黄淮派的洋河、古井贡，北派的河套王、伊力特。
酱酒品类的发展趋势是什么？,酱酒品类将遵循行业的发展定律，由第二次扩容大周期迈向了新常态新周期。
酱酒品牌需要关注哪些内部和外部竞争因素？,酱酒品牌需要关注内部的内卷，还要看与名酒的六维度差距，文化沉淀深度、品类占位高度、通路渠道广度、产品价值厚度，核心市场深度。
如何开展高效的酱酒体验馆模式？,按李渡的 10 亿模型来看，300 家体验馆，1 家体验店 300 万。另外一个大店模型，如武陵 10 亿规模，烟酒店占有 860 家，200 米烟酒店占比 200 家。
酱酒品牌需要聚焦哪些维度实现成长？,成长型酱酒企业需要聚焦亚品类创新、深耕三大维度，即做大品牌、做强产品、做实价格、做精市场、做深渠道、做新模式。
什么是新锐酱酒？,新锐酱酒是指销售规模在10个亿左右的酒类产品，具备品牌基因、品质、规模、产区、品质品类特色或者文化特色、可持续性资源投入等发展性条件。
新锐酱酒的发展路径是什么？,新锐酱酒的发展路径是通过单产品布局，解决消费者的认知问题，进而打通高净值人群的认知问题，最终通过年份老酒来解决。
新锐酱酒的渠道观点是什么？,新锐酱酒的渠道观点应该是围绕bc小b小c的蚂蚁原则展开，注重解决小c的串联问题。
新锐酱酒的社群产品法则是什么？,新锐酱酒的社群产品法则是123法则，即先解决社交再解决认知的问题，建立消费者对企业的信任基础。
圈层法则是什么？,圈层法则指活在圈层里的人最在意的是社交，你做的活动如果仅仅只是就社群而社群，没有圈子，没有扩圈，没有用。
生态法则是什么？,生态法则指在观察一个圈层时，要看这里面有几种人，纯玩的人、为了资源的人、靠名的人，圈子里面应该有一个外交官，他熟悉每个人，可以在整合资源，圈子就活了。
2023酱酒怎么干？,2023酱酒的发展需要讲好故事和做好动员，要跟消费者完成深度的沟通，消费者教育功不可少，茅台成功的原因之一就是讲好了自己的故事。
酱酒的周期是多久？,中国白酒具有周期，客观存在8-10年的消费起伏周期。
酱酒的供需情况如何？,需求端整体持续旺盛，B端教育初见成效但面临挑战，大众酱香的蔓延，机会挑战并存；供给端渠道在艰难去库存，大悲大喜，趋于平静理性；厂家方面赋能升维，渠道升维，行业分化客观存在，越来越明显。
茅台是做什么类型的酒的？,茅台是酱香型白酒品牌。
酒的酿造标准有哪些？,酒的酿造标准包括产区、工艺和匠心。
武陵酒的特点是什么？,武陵酒的特点是纯净、口感涩的部分稀释充分、焦糊香、高温堆积发酵高温曲。
酒鬼酒的故事体系有哪些？,酒鬼酒的故事体系由品质文化、企业文化、产区文化、历史文化到品牌文化五个体系组成。
成都高端白酒经销商交流纪要中提到的“三链”是什么？,“三链”是赋能链、价值链、控制链。
在当前的环境下，品牌塑造的逻辑发生了什么变化？,在当前的环境下，品牌塑造的逻辑发生了变化，包括需求端和供给端。以前的需求端主要通过广告的方式来完成与消费者沟通，供给端则是由销售部解决了经销商经销和铺货的环节。今天发生了巨大的变化，消费者都在低头看手机，通过大传播的方式解决问题越来越难，供给端是交流、物流、需求，需求端是传播，通过信仰，通过面对面。
成都高端白酒经销商交流纪要中提到的青花郎的增长目标是什么？,青花郎的增长目标是一季度完成20%，青花郎完成25%。4月份完成40%+，5月份完成60%，全年无论1000万还是800万，都要实现25%的增长。
成都高端白酒经销商交流纪要中提到的消费复苏情况如何？,成都去年疫情一直持续至10月底，在10月底才全面解封，受疫情影响，2022年成都端午和中秋时节的酒类消费旺季都已错过。11月成都全面开放之后，持续到春节时期出现了报复性增长。但是，此前春节各大单店的国窖价格成交体系今年达成不了，今年公司销售的产品有90%都是国窖，相反于以前销售300-500元的60版国窖，今年基本没有商务宴请价格带的销售，我们通过复盘发现老百姓手中没钱，因此销量被分流至高端产品上。在此阶段还是此前有钱的那个阶层购买国窖为主，因此在春节后销量就出现了直线回落。
白酒经销商需要满足厂家定的目标吗？,是的，每一年经销商都需要满足厂家定的目标。出货量必须高于打款价。
白酒经销商需要把货甩掉吗？,是的，经销商需要把货甩掉，否则无法拿到现金返利。
白酒价格只能往下走吗？,是的，价格只能往下走。即使表面价格没有往下，叠加上其他支出，也是变相的价格下降。
白酒经销商利润有限吗？,是的，经销商利润有限。外区的进货价约为900，而现在统一打款的价格是960，因此有55块一瓶、一箱300+的差价。
白酒价格会以什么方式定下来？,价格肯定会下行。大量甩货的方式一定是走批发市场，团购客户的量能较为有限。此外团购客户的价格有维护力量，因此批发市场的价格一定会下降。
白酒价格是否会低于900？,应该会在900以下，此前预测的是慢慢下降至890。
国窖在成都的势头如何？,国窖西南市场看成都，现在华北的地区销量反超西南。
今年动销的情况与前几年相比，是比较差的还是可以接受？,肯定更差，1月底到大年过完，基本就没怎么出货，整体表现比去年更差。郎酒在成都地区的表现更差，现在的价格大概在870左右。
郎酒的价格情况如何？,年前青花郎价格是830，现在约870-890，出现了比国窖更为严重的倒挂现象，因为进价较高所致。国窖此前960到现在900，一瓶相差了60。
5月批价下行是全国还是成都地区？,开会虽然说是成都地区，但此次批价下行应该是全国性的行为，返利要在5月后兑付，每年规矩都是兑付返利之后，货才能源源不断地在市场上销售。现在国窖严格控货，每个经销商1个月只有20箱货。
是否意味着厂家对库存要求较高？,4-5月会不同清货，通过不停的做活动给消费者刺激，此外经销商严格也要按公司规定的任务量来完成销量指标。
国窖和五粮液的批价背离趋势是否会越来越严重？,"五粮液价格目前较稳，10箱价格950,价格倒挂不严重，可能仅有1%-2%左右，而国窖现在有至少50元的倒挂，情况比较严重。国窖与五粮液一般是差50元以内的竞品，若超过50元，五粮液涨价后国窖会相应涨价，因为差距不允许超过50。"
去年中秋疫情损失消费场景，到现在一共备了多少货？,去年最高峰时有300万左右的库存。
今年价格下行是因为库存大，今年动销不好还是上半年节奏没把握好？,很大部分原因是在消化去年的库存。
去年 300 万的量都没有消化，今年春节是否消化了？,今年春节下滑了，但是又有新的量进来了。
国窖是否有国窖的贷款额度，窖龄是否有窖龄的贷款额度？,是的，每个公司贷款额度不一样，信用贷款最少是30%。
5月份价格下行后，与五粮液的差距是否会加大？,要看国窖的工作，每次五粮液提价预计半年或3个月，国窖说提价则难以实施。
国窖的提价面临困难的原因是什么？,国窖控货始终会有货源在市场流动，因此价格永远都提不上去。
国窖库存现在是多少？,所有的货加起来约 800 万体量，库存约 200 万。
窖龄酒在200万库存里占多少比例？,0-1%，占比较少。
老窖是否在释放信号表明只在意量？,是的，现在重点是要把量给做完。
酒厂现在的想法是否是现在提前把货打完，中秋形势若比较好，那么会增加市场量？,必须需要增量。
价格若下降至 880，中秋前能否将货清完，给予厂家 25%的增长？,现在要把 60%的任务完成后才能兑付 22 年返利，无论如何都要有动力进行运作。
现在这个环境下，是否是好的方式？,大家现在都在弥补前两年损失，酒厂也知道前两年经销商没有赚到钱。
专卖店的价盘体系和终端差多少？,专卖店是价格标杆，终端都是看专卖店的标杆。
甩货的行为现在经销商怎么看？,甩货是经销商个人的行为。
是否是两全其美的方式，经销商获得利润，厂家获得市占率了？,酒厂也知道这样挤压经销商，迟早会崩盘。
从终端的反馈来看，哪些行业不太行？,金融地产不行，煤矿和建筑不行。
老百姓消费很差，商务接待会好一些？,是的。
国窖是如何增长业绩的？,国窖通过逐年增加销售任务来提高业绩，但由于疫情几年没有涨任务。
国窖有信心做大到1000-2000万吗？,国窖有信心做大到1000-2000万，因为公司能把20-22年的返利给弥补。
泸州老窖的经销大会规模最大的一次，有何特点？,今年泸州老窖的经销大会规模最大的一次，各界消费者都可以参加，导致泸州气氛相当之好。
青花郎的出货量已完成全年的50%，价格倒挂颇为严重，为什么？,青花郎的出货量已完成全年的50%，价格倒挂颇为严重，因为经销商卖货讲的是价格和利润。
青花郎的出货量已完成全年的50%，价格倒挂颇为严重，为什么？,青花郎的出货量已完成全年的50%，价格倒挂颇为严重，因为经销商卖货讲的是价格和利润。
青花郎和茅台哪个更赚钱？,茅台 1935 的批发价是 1150，现在市场成交价是 1280，青花郎的价格是 830，但经销商卖货讲的是价格和利润，因此青花郎比茅台更赚钱。
啤酒要进入休闲场景，需要通过买店扩张，我们的渠道策略打法？,啤酒需要花钱砸，但白酒很少。如果需要花钱砸，说明门店的生意好，具备推荐购买的选择权，要求品牌方给一定的品牌费。就像牛栏山、二锅头，量很小，不会有进场费。啤酒的典型特征是高频、量大、有资金、高毛利，所以有进场费去扩店。梅见是新品牌、新品类，量小，不会要进场费。（如果进场费很高，我们就不干了，否则更亏本）
流通渠道的竞争对手？,从梅酒品类出发，唯一有的可能是日本俏雅，只做流通且价格偏高。从用户角度出发，只要是梅见的目标消费者，都算是竞品，比如 RIO。产品用途来看，买了梅见可能去送礼，或者买了去餐饮店喝（自带酒更便宜），用户不会买了RIO 去送礼。RIO 在家里喝。
一开始梅见是怎么找到消费者，后面如何继续吸引消费者？目标客群未来会不会变化？,梅见的用户是低酒精爱好者，比如女性、平时喝酒少的、或以前高度酒现在不能喝的，价值交换体现产品品质，品牌没做什么，就是产品力让人有记忆感，好评率还可以。前段时间和朋友聊，品牌有两个价值，即认知的价值和渠道的价值，品牌背后给我们的是知名度、渠道，倒推出来的还是产品本身。梅见夜宴联名国风、国潮，东方梅见酒，优雅全世界。
消费者中女性年长后可能转向高度酒，如何增加复购率？,用户不止年轻用户。如果大家转向高度酒，要不就是梅见能力不行，要不就是我们为行业创造了价值。企业存在的逻辑，无非就是为用户、行业或者社会创造价值。如果客户长大了我们不能用更厚重的口感把他们留住，那企业倒闭也是应该的。白酒有创造很多从低级到高级的品牌神话，大家也可以相信我们。商务精英类的女性。
梅见是做什么类型的餐饮的？,梅见是做酒类的品牌。
梅见公司有用户的数据吗？,有一部分，公司注重用户管理体系。
消费者画像如何通过数字化实现？,不需要通过数字化，可以通过与消费者沟通来了解核心用户，数字化也有，就是用户的标签。
与黄酒、红酒的竞争怎么看？,三者都是小众品牌，没有谁好谁坏。梅见有机会成为大单品，但还是取决于消费者。
公司当前的优势市场？,华东、华南、西南，年轻人多，经济体量大。东北搞不动。
江小白这个品牌未来怎么打算？,这个要问老板。消费者有认知度了，年轻人第一口白酒覆盖面有 100 多万家终点，有一部分用户流失就是当初尝新，现在不喝了，太正常了，我们本来卖的也是给帝都用户。
梅见的终端网点，未来渠道策略？,30-40 万家，刚起步。前期做质量，未来做数量，以后再做质量。现在在质量阶段。
广告投放中比较有效的渠道？,广告没有创新打法，女性社交媒体打法，小红书、微信，结合一些偏国潮内容。
RIO 为什么走不进去餐饮？,产品的问题，餐饮店不喝低度酒。日本做预调酒市场用了两代人，是三得利主动 发起，你自己是外行，就想快速占领，而且中国消费者已经在慢慢接受了，给点时间不要急。RIO 先从特殊场景切入，从产品上做改革，比如把度数提前，可能能做起来。RIO 缺乏社交属性，产品本身偏独饮，一个人的小酒。其次，产品要能喝醉。啤酒虽然也是低度，但是已经完成了用户心智教育。
百润也开始布局威士忌，威士忌未来的方向？,威士忌是明显上升赛道，也是长尾型赛道，RIO 没有走进佐餐场景，所以量比较小。品牌起来需要多方面因子，具备偶然性和必然性。站在风口很重要（奶酪棒）。
疫情三年有消费降级，我们产品会不会受益？,零食店、折扣店、社区团购都在增长。折扣店最终要做OEM 逻辑，只是用低价做引流。
梅见成功的原因是定位精准，如果其他有能力的企业想要复制会在哪一步出错，或者为什么不复制，如何搭建护城河？,先发优势，用户的心智。做强团队，做厚资源，企业成功基本面不能少，长板决定竞争力。
25 亿涨到 50 亿未来靠什么战略，还是看自然增长？,50 亿没有那么乐观，我们还在路上。
怎么看头号种子？,品牌力叠加渠道力，就会有机会。但是产品不是进店后就能动销，产品进店成功50%。
未来调味品厂商的竞争将会专注在什么方面？,未来调味品厂商的竞争将会专注在淘汰、整合与壮大。
营销逻辑从企业为中心转向什么？,调味品的营销逻辑从企业为中心转向以消费者为中心。
什么是营销的两大功能？,营销具有两大功能：满足需求以及解决信任。
小 B 端客户对企业的要求是什么？,小 B 端客户往往给厂商与经销商留有较为丰厚的利润空间，成为复合调味品的优质客户。
调味品企业需要满足客户对不同档次产品的需求吗？,是的，调味品企业需要有多种产品来满足客户的需求。
电商化、数字化对传统销售渠道有何影响？,电商化、数字化的持续推进将导致传统销售渠道销量不断被瓜分，更接近消费者的渠道将会逐渐获得优势。
KA 对于中小品牌厂商的影响是什么？,KA 作为中小品牌走向大品牌的进阶之路，逐步成为大资本与大品牌的优势领地，对于没有产品优势、品牌优势、批量优势以及客情优势的中小厂商呈加速逃离 KA 的趋势。
经销商的渠道边界正在发生什么变化？,经销商的渠道边界正在被打破，跨渠道、多渠道经营成为大趋势。经销商不再固守 KA 类，to C 类、社区类、农贸类、餐饮类、电商等等渠道的边界，纷纷从单一渠道想多渠道运营升 级。
火锅品类的格局稳定吗？,是的，火锅底料前10名格局基本没有变化，未来可能会形成双寡头。
新进入品牌主要集中在哪个品类？,近年新进入品牌基本集中在菜谱式调料，这个品类频率更高，空间更大，尤其是中式菜谱品类增速呈提升趋势。
经销商分级运营策略的具体举措是什么？,2022年下半年，公司推出了“厂商联合生意计划”，其中包括经销商辅导系统和自运营系统，最终实现数字化营销。
公司的渠道覆盖情况和未来提升空间如何？,公司正在努力提高调味品线上占比，预测20%~30%的线上占比比较合理。同时，零售近场化也是一个趋势，很多KA大卖场也正在转型，公司也在考虑如何拓展零售渠道。
复调和基调产品的区别是什么？,复调是即时性的产品，是消费者决策逻辑，要解决的是“今天吃什么”的问题，消费者必须要在B端吃过才会选择相应的复调，对食材的依赖程度更高。
天味公司的B端业务布局是如何的？,B端业务分为大B和小B两个板块，大B主要是OEM和ODM，毛利较低，目前做战略协同和投资实现业态一体化；小B业态中80%+都是一片蓝海，毛利相对低一点，但净利率与大B差不多。
天味公司对预制菜的布局是怎样的？,公司将预制菜作为第二增长曲线，希望通过团餐先把预制菜跑起来，模式成熟之后可以延伸到C端。天味在行业深耕20+年，对味道的把控具有优势，预制菜的味道也是竞争壁垒之一。公司认为C端还不具备条件，B端可以先把团餐做起来。
天味公司的愿景是什么？,公司的愿景是成为全球的餐桌美味解决方案服务商，餐桌上的东西天味都可以做。
天味公司对复调和预制菜业务的发展态度如何？,公司认为复调仍处于增长初级阶段，还有很大的增长空间，主要精力还是在复调，要做深做透，预制菜只是研发的方向。
学校团餐的解决方案是什么？,学校团餐的解决方案是一个菜品，一个月轮流使用，解决了学校团餐的需求。
小龙虾调料的规划是什么？,天味公司每年都会深度研究湖北和江苏地区的小龙虾产量和时间周期等，目前看来，小龙虾产业规模还是一直在增长的。
团餐业务的体量有多大？提供什么品类？利润率情况如何？有哪些合作企业？,团餐业务的毛利率与大B相近，净利率为8%-10%，除了麦金地和千喜鹤，还没有合作的企业，有很多正在洽谈的企业。
今年新品规划是什么？费用在新品和老品中如何倾斜？,今年会持续开发新单品，当期把现有单品重做一遍是增速最快的，坚决不做价格促销，要加大首购投资。
区域性大单品的规划是什么？,区域性大单品是今年的重点发展方向，一方面是新开发的区域，这是产品的创新。
天味公司的产品运营策略是什么？,天味公司重新运营一些产品，例如推出了切成四块的火锅底料，以更符合华东华南地区消费者的需求。
天味公司在不辣汤品类上的规划是什么？,天味公司会持续开发不辣汤产品，但也会从火锅底料向汤料拓展，以打开更多应用场景。
天味公司的GDR发行进度和规划是什么？,GDR发行将在2022年12月启动，目前已经获得证监会和瑞士的批文，预计在四月中下旬取得证监会大绿条。发行GDR的目的是为了解决海外市场的供给不足和销售渠道不畅的问题，同时可以建设海外工厂以满足动物油脂的需求，增强西式调料的布局。
天味公司2023年的费用投放规划是什么？,2023年营销费用率有下降的趋势，公司给出7000万~1亿的指引，但投放的方向和目的有所变化，主要在于拉动首购。
连锁企业会给供应商做分级吗？,会的，客户会给供应商做分级，比如 A 类供应商，可以供应 70%~80%的占比，其他供应商也入围可以做备选。此外，公司也会辅导客户解决一些产品、做法方面的问题，协助客户做产品的创新。所以总的来说合作都是相对稳定的。
客户门店到达一定数量之后，会自建供应体系吗？,这个要看餐饮企业自己的理念，确实有一些客户资深规模扩张之后，开始兴建自己的中央厨房以及供应体系。
预制菜的运输半径是多少？,800-1000km，公司有华西、华北和华东中心，以三个点为中心向全国发货，基本可以覆盖全国。
2022年中国酿酒行业规模以上企业销售收入中白酒占比多少？,70%。
白酒在酿酒行业中占据了多少的总利润？,90%。
酿酒行业在外部环境和疫情的影响下发生了什么？,开始了新一轮的调整。
白酒行业的基本面发生了什么变化？,高端酒受到了阶段性压力，名酒价格下降。
酿酒行业的发展福利是什么？,产区集中和健康发展构成了基本红利。
白酒行业的发展重点是什么？,在名酒的引领下，白酒的发展继续聚焦于头部。
通过什么方式实现产业结构的升级？,通过产能洗牌实现。
未来酒类行业的三大转型方向是什么？,完全融入数字产业链、加速线上线下渠道融合、建立基于共同利益的新型供应商关系。
华润啤酒将建立什么样的商业管理和发展模式？,更具竞争力的商业管理和发展模式。
茅台风味白酒行业正在向哪些方向发展？,区域化、集约化、高端化、标准化的方向发展。
白酒行业的出货量是否出现了年同比下降？,是的，出现了下降。
茅台风味白酒行业正在向哪些方向发展？,区域化、集约化、高端化、标准化的方向发展。
贵州省白酒行业发展促进协会的成立对行业有何好处？,有助于支持行业不断提高。
茅台风味白酒在外部环境不确定的情况下有何优势？,作为对抗通货膨胀和不确定性的优秀对冲工具。
茅台风味白酒的产能布局如何？,产能不断扩张，导致价格带逐渐向下移动，形成了行业的较大挤压。
餐饮调味品行业目前的竞争形势如何？,整合竞争对产品、品牌和营销提出了新要求。
2022年调味品制造商的业绩表现有何不同？,业绩表现存在显著差异。
调味品制造商之间的竞争将集中在哪些方面？,淘汰、整合和增长。
大B客户的产品定制重点是什么？,差异化定制是大B客户产品的主要重点。
小B客户对制造商和经销商有何价值？,小B客户通常为制造商和经销商留下了充足的利润空间，值得作为高质量客户关注。
经销商的运营方式从单一渠道升级到了什么？,经销商从单一渠道升级为多渠道运营，跨品类和跨渠道运营成为趋势。
天味食品公司坚持什么战略？,天味食品公司坚持大单品生产战略，推动预制菜品创造第二曲线。
海底捞是做什么类型的餐饮的？,海底捞是做火锅的品牌。
调味品行业的CR3指数有何变化？,调味品行业的CR3指数从三年前的9%+增长到了13%+。
天味食品公司提出了什么战略？,天味食品公司提出了以预制菜品业务为第二增长曲线的战略，目标成为全球餐桌美食解决方案服务商。
天味食品公司在哪个领域有优势？,天味食品公司在控制口味方面拥有超过20年的深厚行业根基。
毕马威中国推出的2022年中国餐饮企业发展报告中提到了哪些内容？,报告汇总了行业数据、市场扶持政策、行业投融资情况、行业发展新特点以及企业服务方案等内容，详细分析餐饮行业两大细分赛道——茶饮、预制菜的发展情况。
餐饮企业面临的哪些问题？,供应链价格上涨、客流量骤降、门店停业或取消堂食等，都对餐饮企业造成严重影响。
餐饮企业如何应对困境？,餐饮管理者改变传统的思维模式，促使餐饮企业发展由要素驱动向创新驱动转变。一些餐饮管理者在数字化经营的基础上，开拓零售平台、推广多元化产品、创新品牌形象，不断激发餐饮行业的动能和优势，推动餐饮行业迈向高质量发展。
政府颁布的十条措施对餐饮企业有何影响？,随着疫情的影响逐渐消退，大街小巷的饮食店铺人潮涌动，人间烟火气重燃。
深圳餐饮行业在2022年做了哪些尝试？,深圳餐饮企业从品类业态、运营模式、盈利模型、产品单元等方面探索全新发展模式，同时开始做线上直播、社区团购、预制菜、融资上市方面的尝试。
2022年的餐饮行业面临哪些困难？,2022年的餐饮行业面临疫情反复封控、行业加速洗牌、赛道红利消失、成本上涨等因素的困扰。
深圳市烹饪协会和毕马威中国联合推出的《潮平岸阔正悬帆——2022年中国餐饮企业发展报告》的作用是什么？,《潮平岸阔正悬帆——2022年中国餐饮企业发展报告》通过对餐饮行业深入的洞察、行业相关政策扶持、行业投融资、品类发展数据分析等，分析餐饮行业在需求推力、政策助力、资本拉力、创新动力等方面的新变化，帮助餐饮行业从业者、投资者、行业上下游产业链展开一个真正的餐饮世界，助力餐饮行业高质量发展。
2023年餐饮行业的趋势是什么？,2023年餐饮行业在新冠疫情放开后复苏势头明显，众多餐饮从业者当合纵向前，满足对人民群众美好生活的需求，拥抱变革，开拓未来！
我国消费市场的发展情况如何？,我国消费市场蓬勃发展，消费规模持续扩大，消费结构稳步升级，消费模式不断创新，消费市场不断迎来发展的里程碑。
2022年我国推出了哪些扩内需、促消费的政策举措？,国务院办公厅发布了《关于进一步释放消费潜力促进消费持续恢复的意见》，提出了五方面二十项重点举措，综合施策释放消费潜力，促进消费持续恢复。
居民收入水平的提高对消费市场有何影响？,居民收入水平的提高，令居民消费需求得到有效释放，为消费市场的发展提供了有力支撑。
消费对经济发展起到什么作用？,消费对经济发展起到重要支撑作用。
餐饮业在近年来保持怎样的发展势头？,餐饮业在近年来保持强劲的发展势头，党的十八大以来，我国餐饮收入年均增长达到7.7%。
2022年全国餐饮业收入出现了怎样的情况？,"2022年全国餐饮收入43,941亿元，同比下降6.3%，下降幅度大于社会消费品零售总额的同期值，行业发展遇冷。"
疫情对餐饮业的影响是什么？,疫情对餐饮业造成了堂食停摆，行业恢复面临巨大危机。
2022年社会消费品零售总额出现了什么情况？,"2022年社会消费品零售总额为439,733亿元，较2021年下降0.2%。"
2022年我国餐饮收入在社会零售总额中的占比是多少？,2022年我国餐饮收入在社会零售总额中的占比依然保持在10%。
国务院联防联控机制出台的“二十条”“新十条”措施是为了什么？,国务院联防联控机制相继出台“二十条”“新十条”措施，进一步优化调整疫情防控工作。
消费随着防疫措施的放松会出现什么情况？,消费随着防疫措施的放松均出现了不同程度上的反弹，消费增速较疫情前的水平有所提升。
2023年消费市场会发生什么变化？,预计2023年消费市场将加速回暖，消费需求将继续释放。
餐饮业在1-2月份的增速为全年最高值是多少？,餐饮业在1-2月份的同比增长为6.7%。
餐饮收入在3月同比下降了多少？,餐饮收入较3月同比下降11.1%。
在5月到9月期间，餐饮市场出现了什么情况？,在5月到9月期间，餐饮市场同比收入下降幅度开始缓慢收窄，保持稳定恢复态势。
我国餐饮收入在11月同比增速下降了多少？,我国餐饮收入在11月同比增速下降了5.9%。
广州率先开放堂食是在哪个月份？,广州率先开放堂食是在12月份。
限额以上餐饮企业是什么？,限额以上餐饮企业是指年营业总收入人民币200万元以上，同时年末从业人员40人以上的餐饮企业。
限额以上企业餐饮收入总额占全部餐饮收入的比重逐年走低吗？,是的，限额以上企业餐饮收入总额占全部餐饮收入的比重逐年走低。
限额以上餐饮企业在疫情下的表现如何？,限额以上餐饮企业在疫情下表现出更强的韧性，恢复程度远远优于中小型餐饮企业。
限额以上餐饮企业收入在2022年相比2019年提高了多少？,限额以上餐饮企业收入在2022年相比2019年提高了接近13个百分点。
餐饮企业总市值在2022年相比2021年有多少家实现了正增长？,共有16家企业实现总市值的正增长。
